# scaling-sweep N=200 S=1 F=200 K=1024 H=64 window_ms=3000 reps=3 base_port=60000 payload_bytes=1316 git_sha=40bcc5c git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	200	200	2279	2275	4	455000	455000	214673	213649	519081	520105	true	0	1024	2275	712	1696	4006	2978.3	6235.6	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	455000	455000	0	52.035	15.438	3088.7	5819.6	2275	2275	2275	0	0
ROW	2	0	200	200	2279	2279	0	455800	455800	229009	227985	505388	506412	true	0	1024	2279	694	1664	2450	2977.2	6014.0	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	455800	455800	0	53.161	15.378	3248.0	5879.2	2279	2279	2279	0	0
ROW	3	0	200	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0.0	0.0	0.0	Some(RawReadiness)	false	0	0			1316	1316														
