# scaling-sweep N=200 S=1 F=200 K=256 H=64 window_ms=3000 reps=3 base_port=30000 git_sha=40bcc5c git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	200	200	2279	2275	4	455000	455000	218353	218097	509457	509713	true	0	256	2275	576	1531	3636	2719.4	4531.7	0.0	Some(RawReadiness)	false	0	0			200	200	455000	455000	0	72.325	13.165	2625.7	5028.7	2275	2275	2275	0	0
ROW	2	0	200	200	2279	2273	6	454600	454600	213760	213504	497195	497451	true	0	256	2273	606	1666	4208	2752.5	4532.7	0.0	Some(RawReadiness)	false	0	0			200	200	454600	454600	0	52.622	13.185	2677.6	4946.7	2273	2273	2273	0	0
ROW	3	0	200	200	2279	2275	4	455000	455000	209984	209728	522842	523098	true	0	256	2275	607	1530	4249	2742.3	4748.6	0.0	Some(RawReadiness)	false	0	0			200	200	455000	455000	0	54.727	13.190	2749.4	5184.5	2275	2275	2275	0	0
