# scaling-sweep N=200 S=1 F=200 K=256 H=64 window_ms=3000 reps=3 base_port=52000 payload_bytes=2632 git_sha=40bcc5c git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	200	200	1139	1138	1	227600	0	83817	83763	0	54	true	0	54	1138	725	2862	5949	1565.0	0.1	0.0	Some(RawReadiness)	false	0	0			2632	2632	200	200	0	0	0	21.690	9.210	917.6	1676.2	0	0	0	200	0
ROW	2	0	200	200	1139	1139	0	227800	0	85221	85020	375	576	true	0	201	1139	670	1770	2490	1478.6	6.5	0.0	Some(RawReadiness)	false	0	0			2632	2632	200	200	0	0	0	21.178	9.260	851.1	1594.5	0	0	0	200	0
ROW	3	0	200	200	1139	1139	0	227800	0	84356	84318	0	38	true	0	38	1139	709	2440	4491	1519.9	0.0	0.0	Some(RawReadiness)	false	0	0			2632	2632	200	200	0	0	0	21.278	9.251	876.7	1587.0	0	0	0	200	0
