# scaling-sweep N=200 S=1 F=200 K=512 H=64 window_ms=3000 reps=3 base_port=60000 payload_bytes=1316 git_sha=40bcc5c git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	200	200	2279	2255	24	451000	451000	212850	212338	519004	519516	true	0	512	2255	695	2776	5890	2982.2	5682.2	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	451000	451000	0	53.280	14.934	3333.7	5636.6	2255	2255	2255	0	0
ROW	2	0	200	200	2279	2228	51	445600	445600	210455	209943	560415	560927	true	0	512	2228	698	2678	17609	2977.6	5937.6	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	445600	445600	0	56.719	15.164	3287.8	5864.8	2228	2228	2228	0	0
ROW	3	0	200	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0.0	0.0	0.0	Some(RawReadiness)	false	0	0			1316	1316														
