# scaling-sweep n=50 shards=1 fanout=50 tx_lanes=256 connect_cc=64 window_ms=3000 
# reps=3 base_port=42000 payload_bytes=1316 git_sha=4787ec1 git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	50	50	2279	2241	38	112050	112050	138230	138180	0	50	true	0	50	2241	283	2270	4763	1836.0	0.1	1836.1	Some(RawReadiness)	false	0	0			1316	1316	50	50	112050	112050	0	24.835	9.055	820.2	1178.6	2241	2241	2241	0	0
ROW	2	0	50	50	2279	1911	368	95550	95550	118923	118856	11	78	true	0	67	1911	358	7805	46325	2125.0	0.2	2125.2	Some(RawReadiness)	false	0	0			1316	1316	50	50	95511	95511	0	32.790	9.109	905.5	1321.1	1910	1910	1911	0	0
ROW	3	0	50	50	2279	2117	162	105850	105850	131280	131174	2	108	true	0	106	2117	325	4388	9111	2009.5	0.2	2009.8	Some(RawReadiness)	false	0	0			1316	1316	50	50	105850	105850	0	23.899	9.096	834.3	1318.3	2117	2117	2117	0	0
AGG	3	1			2279	2117	162	105850	105850	131280	131174	2	108				2117	325	4388	9111												50	50		105850	0					2117			0	0
