# scaling-sweep N=200 S=1 F=200 K=256 H=64 window_ms=3000 reps=3 base_port=52000 payload_bytes=700 git_sha=40bcc5c git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	200	200	4285	4240	45	848000	848000	228832	228576	1063596	1063596	false	257	256	4240	425	1253	4892	2971.9	9999.3	0.0	Some(RawReadiness)	false	0	0			700	700	200	200	847832	847832	0	107.814	13.170	3819.8	7128.0	4179	4240	4240	0	0
ROW	2	0	200	200	4285	4200	85	840000	840000	215087	214831	1099024	1099024	false	257	256	4200	446	1779	6044	2973.5	9999.8	0.0	Some(RawReadiness)	false	0	0			700	700	200	200	838136	838136	0	102.825	13.178	3687.4	7231.7	4074	4200	4200	0	0
ROW	3	0	200	200	4285	4261	24	852200	852200	227878	227622	1116580	1116580	false	257	256	4261	428	1083	3946	2968.5	9999.7	0.0	Some(RawReadiness)	false	0	0			700	700	200	200	852200	852200	0	106.288	13.175	3633.8	7338.0	4261	4261	4261	0	0
