# scaling-sweep N=200 S=1 F=200 K=256 H=64 window_ms=3000 reps=3 base_port=52000 payload_bytes=1316 git_sha=40bcc5c git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	200	200	2279	2262	17	452400	452400	196788	196532	551302	551558	true	0	256	2262	633	2116	7350	2788.2	5065.9	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	452400	452400	0	47.906	13.163	2670.5	5252.0	2262	2262	2262	0	0
ROW	2	0	200	200	2279	2258	21	451600	451600	201507	201251	581887	582143	true	0	256	2258	631	2515	4232	2759.0	5492.7	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	451600	451600	0	69.160	13.183	2859.7	5532.2	2258	2258	2258	0	0
ROW	3	0	200	200	2279	2277	2	455400	455400	223148	222892	548833	549089	true	0	256	2277	579	1387	3059	2728.1	5005.1	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	455400	455400	0	72.654	13.172	2647.5	5405.7	2277	2277	2277	0	0
