# scaling-sweep n=200 shards=1 fanout=200 tx_lanes=256 connect_cc=64 window_ms=10000 
# reps=3 base_port=30000 payload_bytes=1316 git_sha=4787ec1 git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	200	200	7598	6370	1228	1274000	1254392	485499	485243	514117	514373	true	0	256	6370	711	9931	163253	9342.3	4418.5	13760.8	Some(RawReadiness)	false	0	0			1316	1316	200	200	587401	587401	0	120.647	20.617	4428.5	7569.8	1514	1693	6370	0	0
ROW	2	0	200	200	7598	6975	623	1395000	1395000	549789	549533	1037036	1037036	false	257	256	6975	708	6188	62866	9306.3	10000.2	19306.5	Some(RawReadiness)	false	0	0			1316	1316	200	200	1179712	1179712	0	128.785	26.278	7853.8	11422.7	2954	6940	6975	0	0
ROW	3	0	200	200	7598	7047	551	1409400	1359742	540446	540190	665117	665373	true	0	256	7047	714	5327	33505	9319.9	6196.9	15516.8	Some(RawReadiness)	false	0	0			1316	1316	200	200	715995	715995	0	134.735	22.441	5235.7	8547.7	1650	2623	7047	0	31
AGG	3	1			7598	7047	551	1409400	1359742	540446	540190	665117	665373				7047	714	5327	33505												200	200		715995	0					1650			0	31
