# scaling-sweep n=150 shards=1 fanout=150 tx_lanes=256 connect_cc=64 window_ms=10000 
# reps=2 base_port=33000 payload_bytes=1316 git_sha=4787ec1 git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	150	150	7598	6209	1389	931350	931350	515299	515043	1082884	1082884	false	257	256	6209	612	8909	134200	8961.9	9999.9	18961.8	Some(RawReadiness)	false	0	0			1316	1316	150	150	931350	931350	0	127.234	26.191	6179.0	11282.0	6209	6209	6209	0	0
ROW	2	0	150	150	7598	6910	688	1036500	1036500	610876	610620	1002656	1002656	false	257	256	6910	592	5668	145687	9077.0	10005.6	19082.7	Some(RawReadiness)	false	0	0			1316	1316	150	150	1022867	1022867	0	144.545	26.183	6587.7	11026.8	6592	6910	6910	0	0
AGG	2	1			7598	6910	688	1036500	1036500	610876	610620	1002656	1002656				6910	592	5668	145687												150	150		1022867	0					6592			0	0
