# scaling-sweep N=200 S=1 F=200 K=128 H=64 window_ms=3000 reps=3 base_port=60000 payload_bytes=1316 git_sha=40bcc5c git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	200	200	2279	2267	12	453400	453400	168461	168333	575106	575234	true	0	128	2267	524	2068	5761	2402.1	4754.0	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	453400	453400	0	64.762	13.964	2957.9	4989.5	2267	2267	2267	0	0
ROW	2	0	200	200	2279	2210	69	442000	442000	148429	148301	645177	645305	true	0	128	2210	583	3616	6969	2442.0	5289.3	0.0	Some(RawReadiness)	false	0	0			1316	1316	200	200	442000	442000	0	106.830	14.530	3288.1	5573.0	2210	2210	2210	0	0
ROW	3	0	200	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0.0	0.0	0.0	Some(RawReadiness)	false	0	0			1316	1316														
