# scaling-sweep n=200 shards=1 fanout=200 tx_lanes=256 connect_cc=64 window_ms=10000 
# reps=1 base_port=40600 payload_bytes=1316 rate_mbps_per_dest=6 git_sha=1081a5e git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	offered_bps_per_dest	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	200	200	5698	5685	13	1137000	1134510	347647	347391	1095620	1095620	false	257	256	4319	848	65671	101502	8934.9	9999.4	18934.3	Some(RawReadiness)	false	0	0			1316	1755	5998860	200	200	1013711	1013711	0	153.772	25.296	7720.0	10849.7	1232	5439	5619	0	18
AGG	1	1			5698	5685	13	1137000	1134510	347647	347391	1095620	1095620				4319	848	65671	101502													200	200		1013711	0					1232			0	18
