# scaling-sweep n=50 shards=1 fanout=50 tx_lanes=64 connect_cc=64 window_ms=60000 
# reps=3 base_port=46064 payload_bytes=1316 rate_mbps_per_dest=8 git_sha=555a234 git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	offer_lateness_us_p50	offer_lateness_us_p99	offer_lateness_us_max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	offered_bps_per_dest	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_sec_b	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	50	50	45592	45592	0	2279600	1142086	1377763	1377759	0	4	true	0	4	43092	156	5340	43985	25721.7	0.5	25722.2	Some(RawReadiness)	false	0	0			1316	1316	8000000	50	50	820115	845781	6670	180	159.777	65.083	7209.0	12424.8	14537	16006	20365	0	0
ROW	2	0	50	50	45592	45568	24	2278400	1659525	1889517	1889506	0	11	true	0	11	40398	188	20060	96419	31863.2	1.8	31865.4	Some(RawReadiness)	false	0	0			1316	1316	8000000	50	50	1483135	1487562	765	343	160.694	65.134	14311.4	16242.6	24592	25586	45206	0	0
ROW	3	0	50	50	45592	45592	0	2279600	1810486	2109592	2109588	0	4	true	0	4	43631	157	5048	76968	30747.6	0.5	30748.2	Some(RawReadiness)	false	0	0			1316	1316	8000000	50	50	1554901	1586471	4864	114	140.225	65.080	10668.8	15928.6	28564	31643	35826	0	0
AGG	3	1			45592	45592	0	2279600	1810486	2109592	2109588	0	4				43631	157	5048	76968													50	50		1586471	4864						28564			0	0
