# scaling-sweep n=150 shards=1 fanout=150 tx_lanes=256 connect_cc=64 window_ms=10000 
# reps=1 base_port=41000 payload_bytes=1316 rate_mbps_per_dest=8 git_sha=1081a5e git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	offered_bps_per_dest	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	150	150	7598	7598	0	1139700	1139580	609651	609395	1168796	1168796	false	257	256	6938	403	7386	41749	8994.3	9997.7	18992.1	Some(RawReadiness)	false	0	0			1316	1316	8000000	150	150	1133743	1133743	0	137.247	25.179	6481.8	11261.5	3090	7598	7598	0	1
AGG	1	1			7598	7598	0	1139700	1139580	609651	609395	1168796	1168796				6938	403	7386	41749													150	150		1133743	0					3090			0	1
