# scaling-sweep n=100 shards=1 fanout=100 tx_lanes=256 connect_cc=64 window_ms=10000 
# reps=2 base_port=37000 payload_bytes=1316 git_sha=1081a5e git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	offered_bps_per_dest	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	100	100	7598	7598	0	759800	759800	695338	695082	343023	343279	true	0	256	7030	303	46935	139282	8796.8	2837.6	11634.4	Some(RawReadiness)	false	0	0			1316	1316	8000000	100	100	759800	759800	0	93.656	18.408	3880.5	6955.3	7598	7598	7598	0	0
ROW	2	0	100	100	7598	7598	0	759800	759800	622847	622591	550318	550574	true	0	256	6816	370	9733	30529	8868.8	4626.5	13495.3	Some(RawReadiness)	false	0	0			1316	1316	8000000	100	100	759800	759800	0	103.433	19.772	4599.9	7956.8	7598	7598	7598	0	0
AGG	2	1			7598	7598	0	759800	759800	622847	622591	550318	550574				6816	370	9733	30529													100	100		759800	0					7598			0	0
