# scaling-sweep n=50 shards=1 fanout=50 tx_lanes=256 connect_cc=64 window_ms=60000 
# reps=2 base_port=49000 payload_bytes=1316 rate_mbps_per_dest=8 fence=false git_sha=ede646e git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	offer_lateness_us_p50	offer_lateness_us_p99	offer_lateness_us_max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	offered_bps_per_dest	fence_offered	fence_accepted	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_sec_b	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	50	50	45592	45592	0	2279600	2279600	2774207	2774157	0	50	true	0	50	43189	154	5858	44263	38138.0	0.5	38138.5	Some(RawReadiness)	false	0	0			1316	1316	8000000	0	0	50	50	2279600	2279600	0	0	26.102	65.092	15555.8	19615.4	45592	45592	45592	0	0
ROW	2	0	50	50	45592	45592	0	2279600	2279600	2747254	2747126	0	128	true	0	128	41274	188	12506	96683	41060.2	0.7	41060.9	Some(RawReadiness)	false	0	0			1316	1316	8000000	0	0	50	50	2279600	2279600	0	0	26.825	65.103	16401.6	20344.3	45592	45592	45592	0	0
AGG	2	1			45592	45592	0	2279600	2279600	2747254	2747126	0	128				41274	188	12506	96683															50	50		2279600	0						45592			0	0
