# scaling-sweep n=200 shards=1 fanout=200 tx_lanes=256 connect_cc=64 window_ms=10000 
# reps=1 base_port=40400 payload_bytes=1316 rate_mbps_per_dest=4 git_sha=1081a5e git_dirty=true
kind	rep	shard	fanout	established	expected_ticks	generated_ticks	missed_source_ticks	data_offered	data_accepted	tx_submitted_wire	tx_completed	drain_submitted	drain_completed	drain_ok	pending_after_drain	inflight_at_window_end	service_visits	lateness_us_p50	p99	max	window_cpu_ms	drain_cpu_ms	cpu_ms	rx_mode	managed_rx	rx_dropped	rx_truncated	tx_pool_free	tx_pool_capacity	payload_bytes	interval_us	offered_bps_per_dest	rx_connections	rx_established	rx_pkt_sent	rx_core_total	rx_sec_a	rx_rtt_ms	rx_elapsed_s	rx_cpu_user_ms	rx_cpu_sys_ms	rx_data_min	rx_data_p50	rx_data_max	rx_data_zero	rx_data_below_half_mean
ROW	1	0	200	200	3799	3799	0	759800	759800	443469	443213	1060611	1060867	true	0	256	3588	598	12627	26779	8012.1	9940.2	17952.3	Some(RawReadiness)	false	0	0			1316	2632	4000000	200	200	759800	759800	0	159.270	25.271	6800.5	10977.4	3799	3799	3799	0	0
AGG	1	1			3799	3799	0	759800	759800	443469	443213	1060611	1060867				3588	598	12627	26779													200	200		759800	0					3799			0	0
