runtime	encryption	role	ingress	egress	promotion	cookie	batch	recv_rounds	would_block_policy	sock_buf_requested_bytes	sock_rcvbuf_effective_min_bytes	sock_rcvbuf_effective_max_bytes	sock_sndbuf_effective_min_bytes	sock_sndbuf_effective_max_bytes	cpus	pin	link_delay	link_jitter	link_loss	link_rate	link_reorder	link_duplicate	link_corrupt	link_limit	workers	recv_runtime	send_runtime	recv_ingress	send_ingress	recv_workers	send_workers	recv_cpus	send_cpus	conns	logical_streams	source_streams	connect_cc	cc_peak	bond	source_bps	srt_bw_mode	srt_maxbw_bps	srt_inputbw_bps	srt_oheadbw_pct	model_policy_rev	model_policy_fingerprint	model_class_pre	model_reasons_pre	rep	attempt	established	torn_down	pkt_sent	core_total	sec_a	sec_b	rtt_ms	elapsed_s	cpu_user_ms	cpu_sys_ms	peak_rss_kb	secs	udp_rcvbuf_err	udp_in_err	udp_no_ports	src_generated	src_accepted	src_refusal_polls	src_blocked_streaks	source_backlog_ms	src_backlog_cap	src_backlog_hwm	src_overflow	datapath_q_horizon_ms	datapath_q_count	datapath_q_cap_per_queue	datapath_q_total_cap	datapath_q_peak_depth_max	datapath_q_peak_depth_sum	datapath_q_full	datapath_q_dropped	datapath_q_disconnected	recv_packets	recv_syscalls	datagrams_per_syscall	timer_late_p50_bucket_us	timer_late_p95_bucket_us	timer_late_p99_bucket_us	timer_late_max_us	retry_horizon_ms	retry_count	retry_cap_per_queue	retry_total_cap	retry_peak_depth_max	would_block	retry_overflow	local_dropped
mio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	1	1	1	50	1	none	8000000	input-relative:100		8000000	100	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-60	1	0	11396	11396	0	0	0.000	15.001	287.5	1587.3	5224	15	0	0	0	11398	11396	5387	4549	1000	759	93	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	1	1	1	50	1	none	8000000	input-relative:100		8000000	100	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-61	1	0	9642	9642	0	0	0.000	15.003	487.2	1732.3	5460	15	0	0	0	11399	9642	11550	9640	1000	759	759	999	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	1	1	0	50	0	none	8000000	input-relative:100		8000000	100	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-61	1	0	9642	9642	0	0	0.307	15.006	412.2	1393.4	5540	15	0	0	0	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
mio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	30	30	30	50	30	none	8000000	input-relative:100		8000000	100	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-62	30	0	327256	327256	0	0	0.000	15.004	2133.8	8019.8	6016	15	0	0	2	341960	327256	731868	326852	1000	759	741	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
mio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	30	30	0	50	0	none	8000000	input-relative:100		8000000	100	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-62	30	0	425712	327256	0	0	0.446	15.008	3237.8	5123.1	9728	15	0	0	2	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	30	30	30	50	30	none	8000000	input-relative:100		8000000	100	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-63	30	0	289393	289393	0	0	0.000	15.003	3082.2	6527.8	6600	15	0	0	0	341946	289393	352592	289349	1000	759	759	29816	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	30	30	0	50	0	none	8000000	input-relative:100		8000000	100	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-63	30	0	289393	289393	0	0	0.352	15.007	5483.0	4225.9	10880	15	0	0	0	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	389839	134594	2.896	1024	2048	4096	15266	250	4	1518	6072	0	0	0	0
mio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	200	200	200	50	50	none	8000000	input-relative:100		8000000	100	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-64	200	0	2274235	2274235	0	0	0.000	15.033	8037.3	23606.3	13388	15	0	0	19	2279764	2274235	3184786	1594921	1000	759	491	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
mio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	200	200	0	50	0	none	8000000	input-relative:100		8000000	100	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-64	200	0	2859032	2274235	0	0	1.305	15.043	15072.2	13411.4	38528	15	0	0	40	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	200	200	200	50	50	none	8000000	input-relative:100		8000000	100	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-65	200	0	1704097	1704097	0	0	0.000	15.033	10801.3	18420.1	12288	15	0	0	51	2279593	1704097	1960204	1703805	1000	759	759	423925	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	200	200	0	50	0	none	8000000	input-relative:100		8000000	100	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-65	200	0	1704097	1704097	0	0	1.819	15.040	15372.5	10525.8	30592	15	0	0	51	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	2319237	419629	5.527	1024	4096	8192	36319	250	4	9487	37948	0	0	0	0
mio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	1	1	1	50	1	none	8000000	fixed:100000000	100000000		25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-66	1	0	11398	11398	0	0	0.000	15.001	262.8	1043.9	5176	15	0	0	0	11398	11398	251	243	1000	759	16	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
mio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	1	1	0	50	0	none	8000000	fixed:100000000	100000000		25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-66	1	0	11398	11398	0	0	0.294	15.003	272.8	784.8	5220	15	0	0	0	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	1	1	1	50	1	none	8000000	fixed:100000000	100000000		25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-67	1	0	11398	11398	0	0	0.000	15.002	687.5	1378.3	5524	15	0	0	0	11398	11398	6292	4432	1000	759	8	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	1	1	0	50	0	none	8000000	fixed:100000000	100000000		25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-67	1	0	11398	11398	0	0	0.367	15.006	396.2	1011.4	5456	15	0	0	0	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
mio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	30	30	30	50	30	none	8000000	fixed:100000000	100000000		25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-68	30	0	341942	341942	0	0	0.000	15.002	2090.9	8202.8	6016	15	0	0	0	341942	341942	37712	30324	1000	759	26	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
mio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	30	30	0	50	0	none	8000000	fixed:100000000	100000000		25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-68	30	0	440552	341942	0	0	0.364	15.005	3213.2	5234.9	10368	15	0	0	0	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	30	30	30	50	30	none	8000000	fixed:100000000	100000000		25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-69	30	0	341932	341932	0	0	0.000	15.005	5597.9	7052.2	6912	15	0	0	5	341940	341932	415874	229125	1000	759	42	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
tokio	plain	listener	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	0-2	off									3					3	3	0-2	3-5	30	30	0	50	0	none	8000000	fixed:100000000	100000000		25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown,nic_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-69	30	0	341932	341932	0	0	0.307	15.008	5979.6	4866.4	11648	15	0	0	5	0	0	0	0	1000	759	0	0	250	0	0	0	0	0	0	0	0	440861	179001	2.463	1024	2048	4096	6920	250	4	1518	6072	0	0	0	0
mio	plain	caller	shared-pool:4	per-connection	all	on	on	8	retain	16777216	33554432	33554432	33554432	33554432	3-5	off									3					3	3	0-2	3-5	200	200	200	50	50	none	8000000	fixed:100000000	100000000		25	stage-a-v1-no-unvalidated-margin	revision=stage-a-v1-no-unvalidated-margin;window=0.00000000000000000;recovery=0.00000000000000000;socket=0.00000000000000000;host=1.00000000000000000;nic=1.00000000000000000;control=none;waves=none	conditional	expected_rtt_unknown,rtt_variance_unknown,effective_socket_buffer_unknown,host_pps_capacity_unknown	3	4647cadf43af5772b8172e90e71c1174-70	200	0	2279668	2279668	0	0	0.000	15.042	8433.5	23315.9	13164	15	0	0	3	2279782	2279668	431083	430504	1000	759	22	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0
